brandName,imageSrc,imageSrcMobile
Acer,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
AKRacing,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Alienware,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
AMD,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
ASUS,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
BenQ,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Coolermaster,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Corsair,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
DeltaHub,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
DRKN,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
DXRacer,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Fractal,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Gameflip,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Gamer Supps LLC,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Glorius,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Gymshark,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Herman Miller,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
HyperX,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Intel,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
InterSports,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Invisalign,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Kaspersky,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Kingston,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Kultec,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Lenovo,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Logitech,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Mad Catz,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Micron ,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Mountain.gg,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
MSI,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Nacon,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
NeedForSeat,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
NobleChairs,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
NordVPN,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
NZXT,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
OMEN By HP,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Opera Browser,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
PC Specialist,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
PNY,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Raven.gg,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Razer,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Respawn,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
ROCCAT,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Runtime GG,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Sapphire,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Seagate,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
SecretLabs,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
SteelSeries,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Turtle Beach,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
ViewSonic,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
Xtrfy,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png
ZOTAC,https://www.method.gg/media/email/top-wotlk-min.png,https://www.method.gg/media/email/top-wotlk-min.png